Type,Diam_cm,Material,X,Y,Z
25,0.0,1,633943.9912516631,3475381.236410491,-2.217499999998836
14,59.0,1,633944.2867119821,3475383.9827128584,-2.765400000003865
16,64.0,1,633937.370482684,3475383.480618834,-2.2603999999992084
14,61.0,1,633940.5687995933,3475379.119168286,-1.293600000004517
14,0.0,1,633941.4726445244,3475379.47756217,-2.0877000000036787
14,96.0,1,633935.4037472337,3475378.6177591635,-1.6054000000003725
16,85.0,1,633935.0254926784,3475376.2329298966,-0.5350000000034925
16,99.0,1,633929.4819171822,3475381.992366622,-1.1429000000061933
16,68.0,1,633924.7300019851,3475383.6336410167,-1.5442000000039116
14,87.0,1,633922.2919884999,3475383.224392632,-1.1396999999997206
14,61.0,1,633916.6062556914,3475388.9395088633,-0.6468000000022585
18,89.0,1,633912.0031914798,3475389.797359173,-0.9652999999962049
16,101.0,1,633904.2385656514,3475390.676242976,-0.963900000002468
16,70.0,1,633904.5035377396,3475387.6762530142,-1.4011000000027707
18,107.0,1,633897.9225434221,3475392.9373835213,-0.8470999999990454
26,57.0,1,633901.6974965062,3475388.6568413135,-1.5503000000026077
18,56.0,1,633902.2461063981,3475379.6199652283,-1.586699999999837
16,74.0,1,633880.3988787284,3475379.596428486,-1.6563000000023749
14,75.0,1,633876.4125737892,3475375.537670754,-1.6916000000055647
16,76.0,1,633874.1743204101,3475378.024982634,-1.5982999999978347
16,78.0,1,633872.4290365053,3475378.4375822768,-2.0106999999989057
16,112.0,1,633864.9160373413,3475375.303274166,-2.0498999999981606
16,56.0,1,633860.1839865604,3475383.056839691,-1.2835000000050059
16,54.0,1,633860.2077473142,3475384.209435082,-0.7863999999972293
14,58.0,1,633861.9208537872,3475386.242107137,-1.0522999999957392
16,105.0,1,633859.2111618796,3475388.4570686175,-1.0461000000068452
16,117.0,1,633850.437903616,3475382.120150679,-1.4382999999943422
14,62.0,1,633843.3126473451,3475378.690342408,-1.5062999999936437
16,56.0,1,633840.3605984116,3475376.418418912,-1.566500000000815
14,68.0,1,633838.0079576434,3475377.033031667,-1.1224999999976717
16,60.0,1,633866.2080435702,3475371.979740715,-1.6524000000063097
14,52.0,1,633865.6116164307,3475371.088245994,-1.47269999999844
16,98.0,1,633868.9123662999,3475372.291574683,-1.1212999999988824
16,95.0,1,633872.0594312007,3475370.675361446,-0.7483000000065658
14,34.0,1,633877.7331038698,3475376.8424581117,-1.4354000000021188
16,91.0,1,633880.4185108931,3475367.355487034,-1.2403999999951338
16,66.0,1,633877.1522792702,3475366.1447761315,-1.4952000000048429
14,0.0,1,633876.6501636128,3475367.473137023,-1.810299999997369
14,90.0,1,633897.3758591528,3475368.5430402444,-1.951199999995879
14,57.0,1,633898.0084889627,3475367.7954741432,-1.5733999999938533
16,105.0,1,633902.098018613,3475373.164262956,-1.7744999999995343
14,47.0,1,633902.8636900103,3475374.8600107986,-1.8304999999963911
18,68.0,1,633910.0447862406,3475372.5909128105,-1.8441000000020722
14,54.0,1,633912.4052983637,3475373.2090364047,-1.1005000000004657
16,71.0,1,633906.0486497285,3475367.85344013,-1.740799999999581
